"Card Value","Card Value"
"Card Type","Card Type"
"Gift Card Sender","Gift Card Sender"
"Gift Card Recipient","Gift Card Recipient"
"Gift Card Message","Gift Card Message"
"Both Virtual and Printed","Both Virtual and Printed"
"Only Printed","Only Printed"
"Only Virtual","Only Virtual"
"Card Value in %s","Card Value in %s"
"Custom Card Value","Custom Card Value"
"Card Image","Card Image"
"Recipient Name","Recipient Name"
"Recipient Email","Recipient Email"
"Date of certificate delivery","Date of certificate delivery"
"Message","Message"
"Gift Card Images","Gift Card Images"
"The image has been saved.","The image has been saved."
"An error occurred while saving the image.","An error occurred while saving the image."
"Quantities have been successfully updated","Quantities have been successfully updated"
"Gift Code Accounts","Gift Code Accounts"
"The email has been sent successfully.","The email has been sent successfully."
"The code account has been saved.","The code account has been saved."
"An error occurred while saving the code account.","An error occurred while saving the code account."
"Gift Cards","Gift Cards"
"Gift Card Code Sets","Gift Card Code Sets"
"Please select code set(s).","Please select code set(s)."
"Gift Card Code Set Edit","Gift Card Code Set Edit"
"The code set has been saved.","The code set has been saved."
"An error occurred while saving the code set.","An error occurred while saving the code set."
"Gift Card Accounts","Gift Card Accounts"
"Gift Code does not exist","Gift Code does not exist"
"Gift Card ""%s"" was added.","Gift Card ""%s"" was added."
"Cannot apply gift card.","Cannot apply gift card."
"Gift Card ""%s"" was removed.","Gift Card ""%s"" was removed."
"Cannot remove gift card.","Cannot remove gift card."
"This Gift Code already exists","This Gift Code already exists"
"Gift Card has been successfully added","Gift Card has been successfully added"
"Wrong Gift Card code","Wrong Gift Card code"
"Gift Card has been successfully removed","Gift Card has been successfully removed"
"Add Amount","Add Amount"
"Information","Information"
"Code Set","Code Set"
"Image","Image"
"Balance","Balance"
"Expiry Date","Expiry Date"
"Comment","Comment"
"Send Information","Send Information"
"Sender Message","Sender Message"
"Date Delivery","Date Delivery"
"Gift Code","Gift Code"
"Initial Value","Initial Value"
"Current Balance","Current Balance"
"Purchased From (Store)","Purchased From (Store)"
"Save & Send Email","Save & Send Email"
"New Gift Code Account","New Gift Code Account"
"Edit Gift Code Account","Edit Gift Code Account"
"Send Gift Card","Send Gift Card"
"Send Email from the Following Store View","Send Email from the Following Store View"
"Gift Card Code","Gift Card Code"
"Initial code value","Initial code value"
"Order #","Order #"
"Purchased On","Purchased On"
"Bill to Name","Bill to Name"
"Shipped to Name","Shipped to Name"
"G.T. (Base)","G.T. (Base)"
"Order Total","Order Total"
"Bought From","Bought From"
"View","View"
"Gift Code Set Title","Gift Code Set Title"
"Code Set Template","Code Set Template"
"Gift Code Qty","Gift Code Qty"
"Unused Gift Codes","Unused Gift Codes"
"Edit Gift Code Set","Edit Gift Code Set"
"New Gift Code Set","New Gift Code Set"
"Code Set Title","Code Set Title"
"Generate Codes","Generate Codes"
"Import Codes","Import Codes"
"CSV File","CSV File"
"Used","Used"
"Gift Code Sets","Gift Code Sets"
"Image Thumbnail","Image Thumbnail"
"Image title","Image title"
"Edit Gift Image","Edit Gift Image"
"New Gift Image","New Gift Image"
"Image Title","Image Title"
"Upload Image","Upload Image"
"Please, specify code position","Please, specify code position"
"Image Id %d","Image Id %d"
"Gift Card Image","Gift Card Image"
"Gift Card Lifetime","Gift Card Lifetime"
"Unable to create.","Unable to create."
"the whole card amount","the whole card amount"
"percent of card card amount","percent of card card amount"
"Virtual","Virtual"
"Printed","Printed"
"Combined","Combined"
"Delete impossible. Code used","Delete impossible. Code used"
"An error has occurred while preparing Gift Card.","An error has occurred while preparing Gift Card."
"Please specify %s","Please specify %s"
"Please specify all the required information.","Please specify all the required information."
"Gift Card min amount is %s","Gift Card min amount is %s"
"Gift Card max amount is %s","Gift Card max amount is %s"
"Please specify Gift Card Value","Please specify Gift Card Value"
"Please specify Gift Card amount.","Please specify Gift Card amount."
"Image file was not found.","Image file was not found."
"Gift card account %s balance is less than amount to be charged.","Gift card account %s balance is less than amount to be charged."
"This gift card account is already in the quote.","This gift card account is already in the quote."
"Please be aware that it is not possible to use the gift card you purchased for your own orders.","Please be aware that it is not possible to use the gift card you purchased for your own orders."
"Wrong gift card website","Wrong gift card website"
"This gift card not found in the quote.","This gift card not found in the quote."
"Wrong gift card code","Wrong gift card code"
"Gift card %s is not enabled.","Gift card %s is not enabled."
"Gift card %s is expired.","Gift card %s is expired."
"Gift card %s  balance does not have funds.","Gift card %s  balance does not have funds."
"Expired","Expired"
"No free codes","No free codes"
"Font not found in path %s","Font not found in path %s"
"Balance cannot be less than zero.","Balance cannot be less than zero."
"Imported","Imported"
"Code %s in row %d already exists","Code %s in row %d already exists"
"All codes already exists","All codes already exists"
"%s in row %d ","%s in row %d "
"Codes already exists. Duplicate codes:<br /> %s","Codes already exists. Duplicate codes:<br /> %s"
"Please add {L} or {D} placeholders into the template ""%s""","Please add {L} or {D} placeholders into the template ""%s"""
"Maximum number of code combinations for the current template is %d, please update Quantity field accordingly.","Maximum number of code combinations for the current template is %d, please update Quantity field accordingly."
"Over time, you can generate no more than %d codes.","Over time, you can generate no more than %d codes."
"You\'ve run out of the Gift Card codes. The gift code wasn\'t created. Please make a credit memo and <a href=""%s"" target=""_blank"">add more gift codes</a> for the appropriate code set.","You\'ve run out of the Gift Card codes. The gift code wasn\'t created. Please make a credit memo and <a href=""%s"" target=""_blank"">add more gift codes</a> for the appropriate code set."
"Gift Card (%s)","Gift Card (%s)"
"Cannot apply Gift Card","Cannot apply Gift Card"
"Cannot remove Gift Card","Cannot remove Gift Card"
"Gift Card","Gift Card"
"Product Types, Which Can Be Bought With Gift Card","Product Types, Which Can Be Bought With Gift Card"
"Gift Card options","Gift Card options"
"Lifetime (Days)","Lifetime (Days)"
"Allow Message","Allow Message"
"Allow customers to use gift cards they bought for themselves","Allow customers to use gift cards they bought for themselves"
"Allow customers to choose delivery date for certificates","Allow customers to choose delivery date for certificates"
"Timezones to choose","Timezones to choose"
"Leave empty if you want to show all timezones. Choose one if you want to hide timezone field","Leave empty if you want to show all timezones. Choose one if you want to hide timezone field"
"Notify Customers before Certificate Expires","Notify Customers before Certificate Expires"
"Number of Days before Expiry","Number of Days before Expiry"
"When set to 0 (zero), the notification is sent once the certificate expires.","When set to 0 (zero), the notification is sent once the certificate expires."
"Email Options","Email Options"
"Email Sender","Email Sender"
"Email Template","Email Template"
"Send copy to","Send copy to"
"Expiry Notification Email Template","Expiry Notification Email Template"
"Send confirmation to sender","Send confirmation to sender"
"Sender Confirmation Email Template","Sender Confirmation Email Template"
"Specify Gift Code","Specify Gift Code"
"Code: %s","Code: %s"
"Status: %s","Status: %s"
"Current Balance: %s","Current Balance: %s"
"unlimited","unlimited"
"Valid till: %s","Valid till: %s"
"Add Gift Card","Add Gift Card"
"Check Gift Card status","Check Gift Card status"
"Price as calculated","Price as calculated"
"Availability:","Availability:"
"In stock","In stock"
"Choose an Amount...","Choose an Amount..."
"Custom Amount","Custom Amount"
"Minimum: %s","Minimum: %s"
"Maximum: %s","Maximum: %s"
"Entered amount is too low","Entered amount is too low"
"Entered amount is too high","Entered amount is too high"
"Choose card type","Choose card type"
"Please be aware that printed gift card will be sent to the shipping address you specify during checkout.","Please be aware that printed gift card will be sent to the shipping address you specify during checkout."
"Choose card Image","Choose card Image"
"Please be aware that delivery date of printed certificates may be different due to post.","Please be aware that delivery date of printed certificates may be different due to post."
"Select timezone","Select timezone"
"Wrong Gift Card Code.","Wrong Gift Card Code."
"Amount","Amount"
"Delete Amount","Delete Amount"
"Drag me","Drag me"
"Refund to Gift Card","Refund to Gift Card"
